,client_id,credit_limit_initial,credit_limit,add_product,mp_first_login,mp_last_login,tp_num,cl_age,education_id,gender_id,marital_status_id,employment_status_cd,city_population_category,app_channel,Авто и запчасти frequency,Авто и запчасти amount,Аптеки frequency,Аптеки amount,Детские товары frequency,Детские товары amount,Досуг и развлечения frequency,Досуг и развлечения amount,Заправки frequency,Заправки amount,Зоотовары frequency,Зоотовары amount,Интернет-магазины frequency,Интернет-магазины amount,Кафе и рестораны frequency,Кафе и рестораны amount,Косметика и парфюмерия frequency,Косметика и парфюмерия amount,Красота и здоровье frequency,Красота и здоровье amount,Мебель и товары для дома frequency,Мебель и товары для дома amount,Одежда и обувь frequency,Одежда и обувь amount,Подарки и развлечения frequency,Подарки и развлечения amount,Прочее frequency,Прочее amount,Путешествия frequency,Путешествия amount,Спорт frequency,Спорт amount,Страхование frequency,Страхование amount,Такси и грузоперевозки frequency,Такси и грузоперевозки amount,Товары для ремонта frequency,Товары для ремонта amount,Электроника frequency,Электроника amount,Ювелирные изделия frequency,Ювелирные изделия amount
3653,33253534,15000.0,30000.0,Халва,2018-04-03 00:00:00.000,2019-03-08 00:00:00.000,,31,2,2,1,EME,>700 тыс,Walk In Sales,1,780.0,14,8806.23,0,0.0,0,0.0,6,2782.4399999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3654,33256913,20000.0,20000.0,Халва,2018-04-07 00:00:00.000,2019-03-09 00:00:00.000,,31,6,2,2,EME,300 – 700 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,3,2499.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2067.0,0,0.0,3,1500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3655,33301455,15000.0,60000.0,Халва,2018-06-04 00:00:00.000,2019-03-11 00:00:00.000,,43,3,2,1,EME,0 – 100 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,86.0,0,0.0,4,4320.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33045.0,0,0.0
3656,33334706,15000.0,15000.0,Халва,2018-05-23 00:00:00.000,2019-03-01 00:00:00.000,,66,3,1,3,PNS,100 – 300 тыс,Walk In Sales,0,0.0,1,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7908.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3657,33365923,60000.0,150000.0,Халва,2018-04-22 00:00:00.000,2019-03-12 00:00:00.000,2.0,48,3,2,2,EME,>700 тыс,Internet Sales,1,2485.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,65176.21,0,0.0,0,0.0,0,0.0,1,116200.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3700.0,0,0.0
3658,33368407,30000.0,30000.0,Халва,2018-05-22 00:00:00.000,2019-02-27 00:00:00.000,,32,3,2,2,EME,300 – 700 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,2,540.0,4,1905.25,0,0.0,0,0.0,1,339.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,587.0,0,0.0,0,0.0,0,0.0
3659,33501962,120000.0,120000.0,Халва,,,,44,2,1,1,EME,>700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,11,9610.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3660,33513661,75000.0,75000.0,Халва,2018-05-23 00:00:00.000,2019-03-11 00:00:00.000,,26,-1,1,2,OTH,>700 тыс,DSA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,297.9,0,0.0,1,11130.0,0,0.0,0,0.0,0,0.0,25,10767.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15960.0
3661,33529268,15000.0,15000.0,Халва + Вклад,2018-04-17 00:00:00.000,2019-03-09 00:00:00.000,,48,6,1,2,EME,100 – 300 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7840.0,0,0.0,0,0.0,0,0.0,0,0.0,14,16343.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3662,33558461,20000.0,20000.0,Халва,2018-03-30 00:00:00.000,2019-03-11 00:00:00.000,,36,3,1,2,EME,0 – 100 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15225.0,0,0.0,5,2376.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,4674.0,3,15225.0,1,1430.0
3663,33580638,60000.0,60000.0,Халва,2018-05-17 00:00:00.000,2019-02-23 00:00:00.000,,39,6,2,2,EME,>700 тыс,Call Center,0,0.0,0,0.0,0,0.0,0,0.0,28,16938.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3664,33590857,45000.0,45000.0,Халва + Вклад,2018-05-20 00:00:00.000,2019-03-11 00:00:00.000,,48,6,2,2,EME,>700 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5079.0,1,222.0,0,0.0,0,0.0,0,0.0,6,31162.0,0,0.0,6,1648.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,47388.0,2,13180.0
3665,33602574,45000.0,45000.0,Халва,2018-05-19 00:00:00.000,2019-02-20 00:00:00.000,,25,6,2,1,EME,>700 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,39,19697.51,2,2000.0,0,0.0,3,2410.0,0,0.0,0,0.0,0,0.0,3,6128.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,230.0,0,0.0,0,0.0,0,0.0
3666,33627423,45000.0,45000.0,Халва,2018-04-02 00:00:00.000,2019-03-09 00:00:00.000,,35,2,2,2,EME,300 – 700 тыс,Representative,0,0.0,0,0.0,0,0.0,0,0.0,3,1100.0,0,0.0,0,0.0,3,1393.9,1,401.2,0,0.0,0,0.0,7,9146.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3667,33813027,90000.0,90000.0,Халва,2018-04-16 00:00:00.000,2019-03-11 00:00:00.000,,43,6,1,2,EME,100 – 300 тыс,Internet Sales,0,0.0,4,1920.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3668,33823649,30000.0,30000.0,Халва,2018-04-14 00:00:00.000,2019-03-09 00:00:00.000,,41,6,1,2,EME,100 – 300 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,212.24,3,990.0,0,0.0,0,0.0,0,0.0,13,28686.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,935.0,0,0.0,2,10990.0,1,313.0
3669,33842848,15000.0,60000.0,Халва,2018-05-01 00:00:00.000,2019-02-28 00:00:00.000,,51,-1,1,2,UNK,>700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,2213.3,0,0.0,0,0.0,1,1563.74,5,15281.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3503.55,1,2690.0,0,0.0
3670,33864762,30000.0,30000.0,Халва,2018-05-07 00:00:00.000,2019-03-11 00:00:00.000,,54,-1,1,2,OTH,>700 тыс,DSA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,11529.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,329.0,0,0.0
3671,33981239,30000.0,30000.0,Халва,2018-04-01 00:00:00.000,2019-03-11 00:00:00.000,,42,-1,1,1,OTH,300 – 700 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,957.5999999999999,0,0.0,1,2208.07,2,3057.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3672,34038388,45000.0,45000.0,Халва,2018-05-30 00:00:00.000,2019-03-05 00:00:00.000,,38,6,1,2,EME,300 – 700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,16,24375.190000000002,0,0.0,1,440.0,4,2280.9,1,198.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,10970.0,0,0.0
